depth	min	max	median	mean
0.5	-45	359	80	99
1.5	-1	387	120	138
2.5	42	415	160	177
3.5	83	444	200	216
4.5	124	473	240	255
5.5	163	502	280	294
6.5	202	533	320	333
7.5	239	564	361	372
8.5	276	596	402	411
9.5	312	629	442	450
10.5	347	663	483	489
11.5	381	697	523	528
12.5	415	733	564	567
13.5	448	770	604	606
14.5	481	808	644	645
15.5	513	848	684	684
16.5	544	888	723	723
17.5	576	930	763	762
18.5	606	974	802	801
19.5	637	1018	841	840
20.5	667	1063	881	879
21.5	697	1109	920	918
22.5	726	1155	959	956
23.5	756	1202	998	995
24.5	785	1250	1037	1034
25.5	813	1298	1076	1073
26.5	842	1346	1115	1112
27.5	870	1394	1154	1151
28.5	898	1443	1193	1190
29.5	925	1492	1232	1229
30.5	953	1522	1261	1258
31.5	981	1532	1278	1276
32.5	1008	1543	1296	1294
33.5	1035	1554	1314	1311
34.5	1061	1566	1332	1329
35.5	1088	1578	1350	1347
36.5	1113	1592	1367	1365
37.5	1138	1605	1385	1383
38.5	1162	1620	1403	1401
39.5	1186	1636	1421	1419
40.5	1209	1653	1438	1437
41.5	1231	1671	1456	1455
42.5	1252	1689	1473	1473
43.5	1272	1708	1491	1491
44.5	1291	1728	1508	1509
45.5	1310	1749	1526	1527
46.5	1327	1771	1543	1545
47.5	1344	1794	1560	1563
48.5	1360	1817	1578	1581
49.5	1374	1841	1595	1599
50.5	1388	1865	1612	1617
51.5	1402	1891	1630	1634
52.5	1415	1916	1647	1652
53.5	1427	1942	1665	1670
54.5	1438	1969	1682	1688
55.5	1449	1996	1700	1706
56.5	1459	2023	1717	1724
57.5	1469	2050	1735	1742
58.5	1479	2079	1752	1760
59.5	1488	2107	1770	1778
60.5	1525	2142	1805	1814
61.5	1589	2182	1859	1867
62.5	1653	2223	1912	1920
63.5	1716	2265	1966	1973
64.5	1779	2307	2019	2027
65.5	1841	2350	2073	2080
66.5	1903	2394	2127	2133
67.5	1964	2437	2180	2186
68.5	2025	2482	2234	2240
69.5	2084	2527	2288	2293
70.5	2142	2573	2341	2346
71.5	2199	2620	2395	2399
72.5	2255	2668	2449	2452
73.5	2310	2717	2503	2506
74.5	2364	2767	2556	2559
75.5	2416	2818	2610	2612
76.5	2467	2871	2664	2665
77.5	2517	2925	2718	2719
78.5	2566	2980	2771	2772
79.5	2614	3036	2825	2825
80.5	2660	3093	2878	2878
81.5	2707	3152	2932	2932
82.5	2752	3211	2985	2985
83.5	2796	3272	3039	3038
84.5	2840	3333	3092	3091
85.5	2883	3396	3145	3145
86.5	2925	3459	3199	3198
87.5	2968	3523	3252	3251
88.5	3010	3587	3305	3304
89.5	3051	3651	3359	3357
90.5	3097	3697	3404	3403
91.5	3145	3728	3441	3440
92.5	3189	3760	3478	3478
93.5	3227	3796	3516	3516
94.5	3259	3835	3555	3553
95.5	3287	3880	3593	3591
96.5	3312	3928	3631	3629
97.5	3333	3981	3669	3666
98.5	3352	4037	3707	3704
99.5	3369	4096	3745	3741
100.5	3383	4157	3782	3779
101.5	3397	4220	3820	3817
102.5	3409	4285	3857	3854
103.5	3420	4351	3894	3892
104.5	3430	4418	3932	3929
105.5	3440	4486	3969	3967
106.5	3449	4555	4006	4005
107.5	3457	4624	4043	4042
108.5	3466	4695	4081	4080
109.5	3473	4765	4118	4117
110.5	3481	4836	4155	4155
111.5	3488	4907	4192	4193
112.5	3495	4979	4229	4230
113.5	3502	5051	4267	4268
114.5	3509	5123	4304	4306
115.5	3515	5196	4341	4343
116.5	3521	5269	4378	4381
117.5	3527	5341	4415	4418
118.5	3534	5415	4452	4456
119.5	3540	5488	4490	4494
120.5	3575	5528	4525	4530
121.5	3641	5535	4559	4565
122.5	3706	5542	4593	4599
123.5	3772	5550	4628	4634
124.5	3836	5558	4662	4669
125.5	3901	5566	4696	4704
126.5	3964	5574	4730	4738
127.5	4028	5582	4765	4773
128.5	4090	5591	4799	4808
129.5	4152	5600	4833	4843
130.5	4214	5609	4867	4878
131.5	4275	5619	4902	4912
132.5	4335	5629	4937	4947
133.5	4394	5639	4971	4982
134.5	4453	5650	5006	5017
135.5	4510	5661	5040	5052
136.5	4567	5673	5075	5086
137.5	4622	5686	5110	5121
138.5	4675	5699	5146	5156
139.5	4727	5714	5181	5191
140.5	4778	5729	5216	5226
141.5	4827	5745	5252	5260
142.5	4874	5763	5287	5295
143.5	4919	5783	5323	5330
144.5	4961	5805	5358	5365
145.5	5002	5829	5394	5399
146.5	5039	5856	5429	5434
147.5	5075	5887	5465	5469
148.5	5108	5921	5500	5504
149.5	5139	5959	5535	5539
150.5	5181	5989	5570	5574
151.5	5237	6007	5607	5611
152.5	5292	6026	5644	5648
153.5	5347	6045	5681	5685
154.5	5401	6065	5718	5722
155.5	5454	6086	5755	5759
156.5	5506	6107	5792	5796
157.5	5557	6129	5829	5832
158.5	5606	6152	5866	5869
159.5	5655	6177	5903	5906
160.5	5703	6203	5940	5943
161.5	5748	6231	5977	5980
162.5	5791	6261	6014	6017
163.5	5831	6292	6051	6053
164.5	5869	6325	6088	6090
165.5	5903	6360	6126	6127
166.5	5935	6397	6163	6164
167.5	5965	6437	6201	6201
168.5	5993	6480	6238	6238
169.5	6019	6524	6275	6275
170.5	6043	6571	6312	6311
171.5	6067	6619	6350	6348
172.5	6089	6669	6387	6385
173.5	6110	6721	6424	6422
174.5	6130	6773	6461	6459
175.5	6149	6826	6498	6496
176.5	6168	6880	6535	6532
177.5	6186	6935	6572	6569
178.5	6204	6991	6609	6606
179.5	6221	7046	6646	6643
180.5	6260	7085	6686	6682
181.5	6321	7108	6728	6725
182.5	6382	7131	6770	6767
183.5	6442	7154	6812	6809
184.5	6502	7178	6854	6851
185.5	6561	7203	6896	6893
186.5	6620	7228	6939	6935
187.5	6678	7255	6981	6977
188.5	6735	7282	7023	7019
189.5	6791	7311	7065	7061
190.5	6846	7341	7107	7103
191.5	6899	7372	7149	7145
192.5	6951	7406	7190	7187
193.5	7001	7441	7232	7229
194.5	7048	7479	7274	7272
195.5	7093	7519	7316	7314
196.5	7136	7562	7358	7356
197.5	7175	7607	7400	7398
198.5	7211	7654	7442	7440
199.5	7245	7703	7484	7482
200.5	7277	7754	7527	7524
201.5	7307	7806	7569	7566
202.5	7335	7860	7611	7608
203.5	7362	7915	7653	7650
204.5	7388	7972	7696	7692
205.5	7413	8030	7738	7734
206.5	7437	8088	7781	7776
207.5	7461	8147	7823	7818
208.5	7484	8207	7865	7861
209.5	7506	8267	7908	7903
210.5	7548	8301	7945	7940
211.5	7611	8309	7979	7974
212.5	7673	8317	8012	8008
213.5	7735	8325	8045	8042
214.5	7796	8334	8079	8075
215.5	7858	8343	8112	8109
216.5	7918	8352	8145	8143
217.5	7978	8363	8179	8176
218.5	8037	8374	8212	8210
219.5	8094	8386	8246	8244
220.5	8149	8400	8279	8277
221.5	8199	8418	8312	8311
222	8222	8429	8329	8328
222.000003333333	8222	8429	8329	8328
222.5	8222	8429	8329	8328
223.5	8222	8429	8329	8328
224.5	8222	8429	8329	8328
225.5	8222	8429	8329	8328
226.5	8222	8429	8329	8328
227.5	8222	8429	8329	8328
228	8222	8429	8329	8328
228.000003333333	8222	8429	8329	8328
228.5	8243	8442	8346	8345
229.5	8280	8473	8379	8378
230.5	8309	8514	8413	8412
231.5	8331	8560	8446	8446
232.5	8348	8613	8479	8480
233.5	8362	8669	8513	8513
234.5	8375	8728	8546	8547
235.5	8386	8787	8579	8581
236.5	8396	8848	8612	8614
237.5	8406	8909	8645	8648
238.5	8415	8970	8678	8682
239.5	8423	9032	8712	8715
240.5	8431	9094	8745	8749
241.5	8440	9157	8778	8783
242.5	8447	9220	8812	8816
243.5	8455	9282	8845	8850
244.5	8463	9345	8878	8884
245.5	8470	9407	8911	8917
246.5	8484	9442	8934	8941
247.5	8502	9448	8947	8953
248.5	8520	9455	8960	8966
249.5	8536	9461	8972	8978
250.5	8552	9468	8985	8991
251.5	8566	9475	8999	9003
252.5	8580	9482	9012	9016
253.5	8592	9490	9025	9029
254.5	8604	9498	9038	9041
255.5	8615	9506	9052	9054
256.5	8626	9514	9066	9066
257.5	8635	9523	9079	9079
258.5	8644	9533	9093	9091
259.5	8653	9542	9107	9104
260.5	8662	9552	9121	9117
261.5	8670	9563	9135	9129
262.5	8678	9574	9149	9142
263.5	8685	9586	9163	9154
264.5	8693	9598	9176	9167
265.5	8700	9611	9190	9179
266.5	8707	9625	9203	9192
267.5	8713	9639	9217	9205
268.5	8720	9655	9230	9217
