depth	min	max	median	mean
19.5	559	922	746	746
20	578	936	763	762
20.5	596	955	779	779
21	610	976	794	795
21.5	621	1000	809	811
22	633	1025	824	827
22.5	644	1057	839	844
23	654	1088	855	860
23.5	675	1095	870	876
24	696	1109	888	892
24.5	714	1119	905	908
25	727	1135	922	924
25.5	742	1152	939	940
26	754	1167	954	956
26.5	763	1189	970	973
27	774	1211	986	989
27.5	799	1224	1000	1004
28	826	1237	1014	1019
28.5	849	1252	1029	1034
29	869	1266	1043	1049
29.5	886	1279	1058	1064
30	900	1294	1073	1079
30.5	914	1314	1088	1094
31	928	1339	1102	1109
31.5	969	1392	1151	1158
32	996	1464	1199	1206
32.5	1015	1545	1249	1255
33	1032	1630	1296	1303
33.5	1042	1729	1338	1352
34	1053	1836	1384	1400
34.5	1062	1954	1428	1449
35	1073	2073	1474	1497
35.5	1152	2087	1536	1557
36	1209	2117	1601	1617
36.5	1247	2143	1671	1677
37	1280	2181	1744	1737
37.5	1303	2230	1814	1797
38	1318	2293	1883	1857
38.5	1337	2374	1949	1917
39	1356	2468	2010	1977
39.5	1485	2479	2063	2035
40	1614	2496	2113	2092
40.5	1744	2513	2163	2149
41	1863	2530	2217	2207
41.5	1958	2556	2270	2264
42	2042	2580	2322	2322
42.5	2111	2614	2380	2379
43	2159	2679	2436	2436
43.5	2214	2706	2472	2473
44	2255	2742	2508	2509
44.5	2290	2787	2546	2546
45	2317	2842	2583	2583
45.5	2340	2911	2618	2619
46	2357	2989	2650	2656
46.5	2368	3070	2680	2692
47	2379	3147	2714	2729
47.5	2431	3168	2755	2769
48	2474	3194	2796	2809
48.5	2505	3221	2839	2849
49	2536	3253	2885	2889
49.5	2561	3297	2930	2930
50	2577	3341	2973	2970
50.5	2593	3394	3018	3010
51	2609	3457	3062	3050
51.5	2692	3477	3092	3087
52	2769	3490	3126	3124
52.5	2833	3515	3160	3161
53	2896	3537	3195	3198
53.5	2947	3564	3231	3235
54	2986	3591	3268	3272
54.5	3018	3640	3305	3308
55	3046	3688	3341	3345
55.5	3162	3766	3437	3444
56	3238	3896	3530	3543
56.5	3286	4065	3619	3641
57	3325	4251	3707	3740
57.5	3359	4458	3789	3838
58	3384	4677	3878	3937
58.5	3404	4898	3961	4035
59	3421	5130	4044	4134
59.5	3560	5170	4164	4240
60	3650	5209	4294	4346
60.5	3725	5273	4433	4452
61	3787	5348	4573	4557
61.5	3843	5436	4703	4663
62	3881	5545	4833	4769
62.5	3922	5682	4940	4875
63	3953	5870	5056	4981
63.5	4187	5892	5163	5099
64	4414	5912	5269	5217
64.5	4644	5935	5374	5335
65	4870	5961	5484	5453
65.5	5074	5990	5591	5571
66	5262	6029	5704	5689
66.5	5428	6084	5822	5807
67	5558	6171	5939	5925
67.5	5666	6249	6002	5995
68	5742	6351	6068	6065
68.5	5791	6475	6130	6135
69	5834	6615	6191	6206
69.5	5861	6765	6255	6276
70	5885	6923	6320	6346
70.5	5907	7090	6385	6417
71	5931	7263	6449	6487
71.5	6035	7290	6529	6565
72	6105	7314	6611	6643
72.5	6164	7348	6702	6722
73	6202	7394	6800	6800
73.5	6242	7438	6893	6878
74	6266	7500	6981	6956
74.5	6297	7589	7059	7034
75	6326	7720	7140	7113
75.5	6488	7733	7207	7185
76	6655	7747	7274	7257
76.5	6803	7762	7340	7329
77	6934	7781	7409	7401
77.5	7070	7804	7481	7473
78	7158	7827	7560	7545
78.5	7231	7860	7638	7617
79	7298	7914	7714	7689
79.5	7327	7921	7726	7703
80	7359	7929	7739	7717
80.5	7385	7937	7753	7730
81	7409	7947	7765	7744
81.5	7429	7958	7778	7758
82	7454	7971	7790	7772
82.5	7479	7983	7803	7786
83	7497	7998	7816	7800
83.5	7529	8004	7828	7813
84	7561	8010	7838	7825
84.5	7590	8018	7848	7837
85	7614	8026	7860	7850
85.5	7637	8035	7871	7862
86	7664	8047	7882	7875
86.5	7681	8061	7893	7887
87	7697	8075	7905	7900
87.5	7698	8076	7905	7900
88	7698	8076	7905	7900
88.5	7698	8076	7905	7901
89	7699	8076	7906	7901
89.5	7699	8077	7906	7901
90	7699	8077	7906	7901
90.000025	7699	8077	7906	7901
90.5	7699	8077	7907	7902
91	7700	8077	7907	7902
91.5	7702	8078	7909	7904
92	7705	8080	7912	7907
92.5	7708	8081	7915	7909
93	7710	8082	7917	7912
93.5	7716	8084	7920	7914
94	7718	8087	7922	7917
94.5	7722	8090	7925	7919
95	7725	8093	7927	7922
95.5	7729	8094	7929	7924
96	7730	8096	7931	7927
96.5	7733	8099	7934	7929
97	7736	8100	7937	7932
97.5	7739	8102	7939	7934
98	7742	8105	7941	7937
98.5	7745	8107	7944	7939
99	7746	8111	7946	7942
99.5	7750	8112	7949	7944
100	7753	8114	7951	7947
100.5	7756	8115	7954	7949
101	7758	8117	7956	7952
101.5	7763	8119	7959	7954
102	7765	8121	7961	7957
102.5	7768	8123	7964	7959
103	7771	8125	7966	7962
103.5	7774	8127	7968	7964
104	7777	8129	7971	7967
104.5	7780	8132	7974	7969
105	7783	8135	7976	7972
105.5	7785	8137	7978	7974
106	7789	8140	7981	7977
106.5	7790	8142	7983	7979
107	7792	8144	7986	7982
107.5	7795	8146	7988	7984
108	7799	8149	7991	7987
108.5	7800	8151	7993	7989
109	7802	8153	7996	7992
109.5	7807	8155	7999	7994
110	7811	8157	8001	7997
110.5	7814	8159	8004	7999
111	7817	8161	8006	8002
111.5	7821	8163	8009	8004
112	7824	8166	8011	8007
112.5	7827	8169	8014	8009
113	7830	8170	8016	8012
113.5	7833	8174	8019	8014
114	7836	8178	8021	8017
114.5	7840	8180	8024	8019
115	7843	8183	8026	8022
115.5	7847	8186	8028	8024
116	7849	8188	8031	8027
116.5	7852	8189	8033	8029
117	7856	8191	8036	8031
117.5	7858	8195	8038	8034
118	7860	8198	8041	8036
118.5	7863	8201	8043	8039
119	7865	8204	8045	8041
119.5	7868	8205	8047	8044
120	7870	8206	8050	8046
120.5	7873	8207	8052	8049
121	7874	8209	8055	8052
121.5	7876	8212	8057	8054
122	7878	8213	8060	8057
122.5	7883	8216	8063	8059
123	7886	8219	8065	8062
123.5	7889	8222	8068	8064
124	7894	8224	8070	8067
124.5	7899	8227	8073	8070
125	7903	8229	8076	8072
125.5	7906	8232	8078	8075
126	7907	8233	8081	8078
126.5	7910	8235	8084	8080
127	7913	8237	8087	8083
127.5	7916	8239	8089	8085
128	7919	8242	8091	8088
128.5	7921	8244	8094	8090
129	7924	8246	8096	8093
129.5	7926	8250	8098	8095
130	7928	8252	8101	8098
130.5	7932	8254	8103	8100
131	7936	8257	8105	8103
131.5	7939	8259	8108	8105
132	7941	8260	8110	8108
132.5	7944	8262	8113	8110
133	7947	8264	8115	8113
133.5	7950	8267	8118	8115
134	7952	8269	8120	8118
134.5	7955	8273	8122	8120
135	7959	8274	8125	8123
135.5	7963	8277	8127	8125
136	7967	8279	8129	8128
136.5	7971	8282	8132	8130
137	7974	8283	8134	8133
137.5	7977	8285	8137	8135
138	7979	8288	8139	8138
138.5	7982	8291	8142	8140
139	7984	8293	8144	8143
139.5	7988	8295	8147	8145
140	7990	8297	8150	8148
140.5	7994	8298	8153	8150
141	7996	8301	8155	8153
141.5	7999	8302	8158	8155
142	8002	8305	8160	8158
142.5	8006	8307	8163	8160
143	8009	8309	8165	8163
143.5	8011	8310	8168	8165
144	8015	8312	8170	8168
144.5	8018	8315	8173	8170
145	8021	8317	8175	8173
145.5	8025	8319	8178	8175
146	8027	8321	8180	8178
146.5	8030	8323	8183	8180
147	8032	8324	8185	8183
147.5	8036	8327	8188	8185
148	8040	8327	8191	8188
148.5	8042	8329	8194	8190
149	8045	8332	8196	8193
149.5	8048	8335	8199	8195
150	8051	8337	8201	8198
150.5	8054	8339	8204	8200
151	8056	8342	8207	8203
151.5	8059	8344	8209	8205
152	8062	8346	8212	8208
152.5	8064	8348	8214	8210
153	8067	8350	8217	8213
153.5	8069	8353	8219	8215
154	8072	8355	8222	8218
154.5	8074	8358	8224	8220
155	8076	8361	8227	8222
155.5	8081	8363	8229	8225
156	8083	8364	8232	8227
156.5	8087	8366	8234	8230
157	8091	8369	8237	8232
157.5	8093	8371	8239	8235
158	8095	8373	8241	8237
158.5	8097	8376	8244	8240
159	8101	8379	8246	8242
159.000025	8101	8379	8246	8242
159.5	8101	8379	8246	8242
160	8101	8379	8246	8242
160.5	8101	8379	8246	8242
161	8101	8379	8246	8242
161.5	8101	8379	8246	8242
162	8101	8379	8246	8242
162.5	8101	8379	8246	8242
163	8101	8379	8246	8242
163.5	8101	8379	8246	8242
164	8101	8379	8246	8242
164.5	8101	8379	8246	8242
165	8101	8379	8246	8242
165.5	8101	8379	8246	8242
166	8101	8379	8246	8242
166.5	8101	8379	8246	8242
167	8101	8379	8246	8242
167.5	8101	8379	8246	8242
168	8101	8379	8246	8242
168.5	8101	8379	8246	8242
169	8101	8379	8246	8242
169.5	8101	8379	8246	8242
170	8101	8379	8246	8242
170.000025	8101	8379	8246	8242
170.5	8106	8381	8249	8245
171	8109	8383	8252	8248
171.5	8112	8386	8255	8250
172	8113	8389	8258	8253
172.5	8116	8392	8261	8256
173	8118	8394	8263	8259
173.5	8120	8399	8266	8262
174	8122	8401	8269	8264
174.5	8126	8404	8272	8267
175	8129	8406	8275	8270
175.5	8133	8409	8278	8273
176	8137	8414	8280	8276
176.5	8140	8418	8283	8279
177	8142	8424	8286	8282
177.5	8144	8427	8290	8285
178	8146	8431	8292	8288
178.5	8150	8434	8295	8291
179	8152	8435	8299	8295
179.5	8154	8439	8302	8298
180	8156	8442	8304	8301
180.5	8158	8446	8307	8304
181	8160	8450	8310	8307
181.5	8162	8456	8313	8310
182	8167	8461	8316	8313
182.5	8170	8464	8319	8316
183	8173	8466	8322	8320
183.5	8177	8468	8325	8323
184	8179	8471	8328	8326
184.5	8180	8474	8331	8329
185	8183	8477	8335	8332
185.5	8185	8480	8338	8335
186	8189	8485	8341	8338
186.5	8192	8488	8343	8341
187	8195	8493	8346	8344
187.5	8197	8494	8349	8347
188	8199	8496	8352	8350
188.5	8201	8500	8355	8353
189	8203	8504	8358	8356
189.5	8206	8509	8362	8359
190	8207	8513	8365	8363
190.5	8212	8515	8367	8366
191	8215	8518	8370	8369
191.5	8218	8522	8373	8372
192	8222	8525	8376	8375
192.5	8226	8528	8379	8378
193	8228	8531	8382	8381
193.5	8231	8534	8385	8384
194	8233	8539	8388	8388
194.5	8236	8543	8391	8391
195	8238	8548	8394	8394
195.5	8241	8550	8397	8397
196	8244	8553	8401	8400
196.5	8248	8558	8404	8404
197	8251	8562	8407	8407
197.5	8255	8568	8410	8410
198	8257	8571	8413	8413
198.5	8261	8574	8417	8416
199	8264	8577	8420	8419
199.5	8266	8580	8422	8422
200	8270	8583	8425	8425
200.5	8273	8587	8429	8428
201	8275	8589	8431	8431
201.5	8278	8593	8434	8434
202	8281	8596	8437	8438
202.5	8285	8599	8440	8441
203	8288	8602	8444	8444
203.5	8293	8605	8447	8447
204	8296	8609	8450	8450
204.5	8299	8612	8453	8453
205	8301	8616	8457	8456
205.5	8303	8622	8460	8459
206	8305	8627	8463	8463
206.5	8308	8628	8466	8466
207	8311	8632	8469	8469
207.5	8314	8636	8472	8472
208	8317	8639	8475	8475
208.5	8319	8643	8478	8478
209	8321	8648	8481	8481
209.5	8324	8652	8484	8484
210	8327	8656	8487	8487
210.5	8330	8657	8490	8490
211	8333	8661	8492	8493
211.5	8336	8664	8495	8496
212	8339	8667	8499	8499
212.5	8342	8670	8501	8502
213	8344	8673	8504	8505
213.5	8347	8678	8507	8508
214	8349	8683	8509	8512
214.5	8352	8685	8512	8515
215	8355	8688	8516	8518
215.5	8358	8691	8519	8521
216	8362	8695	8522	8524
216.5	8364	8700	8525	8527
217	8366	8703	8529	8531
217.5	8368	8708	8532	8534
218	8371	8713	8535	8537
218.5	8375	8716	8538	8540
219	8378	8718	8541	8543
219.5	8381	8719	8544	8546
220	8383	8721	8547	8549
220.5	8386	8724	8550	8552
221	8389	8728	8553	8555
221.5	8391	8731	8555	8557
222	8394	8733	8558	8560
222.5	8396	8736	8561	8563
223	8399	8738	8564	8566
223.5	8401	8742	8568	8570
224	8406	8746	8571	8573
224.5	8409	8752	8573	8576
225	8411	8756	8577	8579
225.5	8414	8760	8580	8582
226	8417	8763	8583	8585
226.5	8420	8766	8586	8588
227	8424	8769	8589	8591
227.5	8427	8772	8592	8594
228	8429	8774	8595	8597
228.5	8433	8776	8598	8600
229	8436	8779	8601	8603
229.5	8439	8782	8604	8606
230	8441	8785	8608	8609
230.5	8445	8788	8611	8612
231	8449	8789	8614	8615
231.5	8453	8791	8617	8618
232	8456	8793	8620	8622
232.5	8459	8796	8623	8625
233	8462	8799	8626	8628
233.5	8466	8802	8629	8631
234	8470	8805	8632	8634
234.5	8472	8809	8635	8637
235	8474	8813	8638	8640
235.5	8477	8817	8641	8643
236	8479	8819	8644	8646
236.5	8483	8822	8647	8649
237	8484	8826	8650	8652
237.5	8486	8829	8653	8655
238	8489	8833	8655	8658
238.5	8492	8835	8658	8662
239	8495	8838	8662	8665
239.5	8499	8841	8665	8668
240	8501	8845	8669	8671
240.5	8502	8848	8672	8674
241	8504	8851	8675	8677
241.5	8506	8854	8679	8680
242	8510	8859	8682	8684
242.5	8513	8862	8685	8687
243	8519	8864	8688	8690
243.5	8522	8866	8692	8693
244	8525	8870	8695	8696
244.5	8528	8873	8698	8699
245	8531	8876	8701	8702
245.5	8532	8878	8703	8705
246	8537	8882	8706	8708
246.5	8539	8884	8709	8711
247	8543	8887	8713	8714
247.5	8546	8889	8716	8717
248	8549	8893	8719	8720
248.5	8551	8895	8722	8723
249	8555	8899	8724	8726
249.5	8557	8902	8728	8729
250	8561	8905	8731	8732
250.5	8564	8907	8734	8735
251	8567	8909	8737	8738
251.5	8569	8912	8740	8741
252	8572	8915	8743	8744
252.5	8574	8918	8746	8747
253	8576	8921	8749	8750
253.5	8579	8924	8752	8753
254	8581	8927	8755	8756
254.5	8584	8930	8758	8759
255	8587	8934	8761	8762
255.5	8589	8935	8764	8765
256	8593	8939	8767	8768
256.5	8596	8942	8771	8772
257	8599	8945	8774	8775
257.5	8601	8950	8777	8778
258	8604	8953	8781	8781
258.5	8609	8956	8784	8784
259	8614	8958	8787	8787
259.5	8618	8960	8790	8790
260	8622	8964	8794	8793
260.5	8626	8967	8796	8796
261	8629	8971	8799	8799
261.5	8631	8973	8802	8803
262	8633	8977	8805	8806
262.5	8638	8980	8808	8809
