depth	min	max	median	mean
0.5	2	887	690	610
1	19	907	703	624
1.5	29	930	714	637
2	46	954	726	650
2.5	55	977	738	664
3	65	1004	748	677
3.5	73	1038	758	691
4	84	1070	768	704
4.5	98	1082	784	718
5	109	1099	798	732
5.5	124	1112	812	746
6	138	1123	824	760
6.5	152	1144	836	774
7	166	1169	847	788
7.5	175	1193	860	803
8	188	1217	872	817
8.5	230	1237	896	841
9	266	1253	918	865
9.5	294	1277	941	889
10	320	1305	963	913
10.5	342	1336	988	936
11	361	1372	1008	960
11.5	375	1409	1028	984
12	385	1450	1049	1008
12.5	453	1466	1081	1045
13	514	1485	1116	1081
13.5	560	1507	1151	1118
14	607	1525	1190	1154
14.5	660	1550	1225	1191
15	707	1581	1259	1227
15.5	738	1618	1295	1263
16	767	1664	1328	1300
16.5	865	1678	1362	1339
17	965	1691	1398	1379
17.5	1055	1708	1431	1419
18	1150	1723	1466	1458
18.5	1226	1740	1502	1498
19	1295	1763	1538	1537
19.5	1353	1789	1578	1577
20	1393	1827	1619	1616
20.5	1422	1839	1641	1638
21	1444	1856	1663	1660
21.5	1460	1878	1685	1682
22	1474	1910	1706	1704
22.5	1492	1945	1728	1726
23	1504	1987	1749	1748
23.5	1516	2031	1770	1770
24	1528	2071	1788	1792
24.5	1561	2085	1807	1813
25	1595	2099	1828	1834
25.5	1623	2113	1850	1855
26	1640	2133	1871	1876
26.5	1656	2158	1894	1897
27	1670	2180	1916	1918
27.5	1682	2212	1937	1939
28	1692	2248	1957	1960
28.5	1756	2263	1986	1991
29	1804	2279	2013	2022
29.5	1841	2303	2042	2052
30	1865	2330	2074	2083
30.5	1883	2368	2103	2113
31	1902	2433	2131	2144
31.5	1916	2493	2160	2175
32	1931	2563	2185	2205
32.5	1987	2594	2240	2255
33	2028	2633	2297	2306
33.5	2066	2677	2354	2356
34	2094	2726	2407	2406
34.5	2115	2787	2461	2456
35	2133	2858	2513	2506
35.5	2154	2936	2563	2557
36	2166	3022	2613	2607
36.5	2259	3036	2656	2652
37	2339	3053	2698	2698
37.5	2418	3074	2743	2744
38	2491	3096	2789	2789
38.5	2555	3119	2837	2835
39	2596	3149	2882	2881
39.5	2634	3189	2930	2926
40	2666	3241	2977	2972
40.5	2775	3319	3048	3047
41	2838	3422	3120	3123
41.5	2880	3561	3190	3199
42	2907	3719	3258	3274
42.5	2928	3883	3322	3350
43	2945	4056	3381	3426
43.5	2963	4228	3443	3501
44	2977	4402	3509	3577
44.5	3085	4432	3600	3664
45	3169	4491	3703	3750
45.5	3234	4560	3805	3837
46	3284	4618	3908	3923
46.5	3325	4693	4009	4010
47	3354	4776	4112	4096
47.5	3387	4881	4209	4183
48	3408	5008	4301	4269
48.5	3604	5028	4381	4358
49	3787	5052	4466	4447
49.5	3966	5070	4550	4536
50	4125	5090	4639	4625
50.5	4269	5120	4726	4714
51	4389	5153	4819	4803
51.5	4471	5199	4910	4892
52	4530	5276	5001	4981
52.5	4599	5296	5033	5016
53	4638	5316	5067	5050
53.5	4677	5349	5101	5084
54	4714	5392	5134	5119
54.5	4740	5451	5166	5153
55	4774	5516	5198	5187
55.5	4795	5596	5227	5222
56	4809	5675	5254	5256
56.5	4840	5687	5283	5284
57	4880	5711	5313	5312
57.5	4913	5734	5344	5340
58	4943	5763	5373	5368
58.5	4961	5795	5403	5396
59	4982	5835	5431	5424
59.5	4999	5882	5460	5452
60	5014	5931	5485	5480
60.5	5056	5945	5510	5507
61	5089	5968	5537	5534
61.5	5113	5985	5565	5560
62	5144	6000	5594	5587
62.5	5163	6031	5621	5614
63	5179	6056	5650	5641
63.5	5198	6090	5676	5668
64	5212	6132	5701	5694
64.5	5259	6142	5727	5721
65	5299	6151	5755	5747
65.5	5344	6163	5782	5774
66	5374	6176	5812	5800
66.5	5396	6192	5838	5827
67	5421	6216	5867	5853
67.5	5450	6237	5894	5880
68	5470	6272	5921	5906
68.5	5526	6283	5945	5934
69	5574	6297	5969	5961
69.5	5624	6309	5995	5989
70	5658	6320	6023	6016
70.5	5690	6335	6052	6044
71	5710	6355	6082	6071
71.5	5741	6382	6112	6099
72	5763	6420	6142	6126
72.5	5825	6432	6163	6152
73	5887	6442	6184	6178
73.5	5927	6455	6207	6204
74	5969	6473	6233	6230
74.5	6000	6496	6259	6256
75	6027	6519	6285	6282
75.5	6048	6545	6313	6308
76	6068	6585	6336	6334
76.5	6094	6609	6360	6358
77	6118	6634	6383	6381
77.5	6142	6662	6406	6405
78	6160	6693	6429	6429
78.5	6178	6733	6451	6453
79	6192	6777	6472	6477
79.5	6208	6833	6491	6501
80	6218	6889	6513	6524
80.5	6242	6905	6537	6546
81	6268	6920	6559	6569
