Depth,Age,Core,eDNAorLipid
2.5,912,GC017,B
8.5,1413,GC017,L
13.5,1830,GC017,L
18.5,2248,GC017,L
23.5,2665,GC017,L
22,2540,GC017,B
27.5,2999,GC017,L
31.5,3333,GC017,B
36.5,3750,GC017,L
39,3959,GC017,B
42,4209,GC017,L
49,4794,GC017,B
56,5270,GC017,L
65,5631,GC017,L
75,6032,GC017,B
98,6955,GC017,B
113,7557,GC017,B
125,8039,GC017,B
155,9243,GC017,B
203.5,10121,GC017,B
227,10669,GC017,E
248,10892,GC017,E
269,10837,GC017,B
21,881,PC014,B
33,1890,PC014,L
45.5,2942,PC014,B
53,3572,PC014,L
59,4077,PC014,B
64,4498,PC014,L
70,5002,PC014,B
84,6180,PC014,L
96,6961,PC014,B
139,7777,PC014,B
165,8600,PC014,B
270,8823,PC014,B
329,9259,PC014,B
405,9863,PC014,B
525,10513,PC014,B
708,10920,PC014,B
10,527,PC012,E
35,1404,PC012,E
61,2335,PC012,E
84,3171,PC012,E
114,4269,PC012,E
132,4937,PC012,E
159,5885,PC012,E
186,6908,PC012,E
210,7843,PC012,E
225,8298,PC012,E
240,8531,PC012,E
300,9349,PC012,E
357,9983,PC012,E
420,10601,PC012,E
483,11216,PC012,E
561,12158,PC012,E
