Depth,Age,Core,eDNAorLipid
2.5,912,GC017,x
8.5,1413,GC017,
13.5,1830,GC017,
18.5,2248,GC017,
22,2540,GC017,x
23.5,2665,GC017,
27.5,2999,GC017,
31.5,3333,GC017,x
36.5,3750,GC017,
39,3959,GC017,x
42,4209,GC017,
49,4794,GC017,x
56,5270,GC017,
65,5631,GC017,
75,6032,GC017,x
113,7557,GC017,x
155,9243,GC017,x
269,10837,GC017,x
10,527,PC012,x
35,1404,PC012,x
61,2335,PC012,x
84,3171,PC012,x
114,4269,PC012,x
132,4937,PC012,x
159,5885,PC012,x
186,6908,PC012,x
210,7843,PC012,x
225,8298,PC012,x
240,8531,PC012,x
300,9349,PC012,x
357,9983,PC012,x
420,10601,PC012,x
483,11216,PC012,x
561,12158,PC012,x
22,950,PC012,
50,1948,PC012,
70,2661,PC012,
99,3732,PC012,
21,881,PC014,x
27,1386,PC014,
33,1890,PC014,
39,2395,PC014,
45.5,2942,PC014,x
53,3572,PC014,
59,4077,PC014,x
64,4498,PC014,
70,5002,PC014,x
80,5843,PC014,
96,6961,PC014,x
270,8823,PC014,x
525,10513,PC014,x
