"","tax_name","ExrNTC_S49","LibNTC_S51","WP2-001_S1","WP2-002_S2","WP2-003_S3","WP2-004_S4","WP2-005_S5","WP2-006_S6","WP2-007_S7","WP2-008_S8","WP2-009_S9","WP2-010_S10","WP2-011_S11","WP2-012_S12","WP2-013_S13","WP2-014_S14","WP2-016_S16","WP2-017_S17","WP2-018_S18","WP2-019_S19","WP2-020_S20","WP2-021_S21","WP2-022_S22","WP2-023_S23","WP2-024_S24","WP2-025_S25","WP2-026_S26","WP2-027_S48","WP2-029_S29","WP2-030_S30","WP2-031_S31","WP2-032_S32","WP2-033_S33","WP2-034_S34","WP2-035_S35","WP2-036_S36","WP2-037_S37","WP2-038_S38","WP2-039_S39","WP2-040_S40","WP2-041_S41","WP2-042_S42","WP2-043_S43","WP2-044_S44","WP2-045_S45","WP2-046_S46"
"1","Acanthopagrus",0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,133,0,0,0,0,0,0,77,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Acartia",0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Accipiter",0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Acholoe",0,0,0,0,0,0,0,0,81,0,81,65,181,67,62,0,0,0,0,0,209,0,55,108,0,79,91,0,141,115,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0
"5","Acipenser",0,0,0,0,52,59,0,0,0,0,0,61,185,0,110,365,62,0,0,0,0,0,0,0,0,67,108,0,161,301,0,0,0,0,55,50,0,0,0,0,0,0,86,0,0,0
"6","Acleris",0,0,50,0,0,0,0,0,0,0,0,0,82,0,62,62,0,0,0,0,0,0,0,0,0,0,58,0,81,144,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0
"7","Acomys",0,0,66,0,77,83,80,0,0,0,99,96,280,0,140,377,70,69,0,59,58,78,76,0,0,108,122,0,231,399,58,0,53,69,76,69,0,59,0,0,0,0,127,0,59,0
"8","Acrobasis",0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Acrocephalus",0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Acronicta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Acropora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Actinia",0,0,0,0,0,0,58,0,71,0,57,54,123,0,59,78,0,0,0,0,0,0,0,0,0,72,60,0,0,77,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
