"","WP2-001_S1","WP2-002_S2","WP2-003_S3","WP2-004_S4","WP2-005_S5","WP2-006_S6","WP2-007_S7","WP2-008_S8","WP2-009_S9","WP2-010_S10","WP2-011_S11","WP2-012_S12","WP2-013_S13","WP2-014_S14","WP2-016_S16","WP2-017_S17","WP2-018_S18","WP2-019_S19","WP2-020_S20","WP2-021_S21","WP2-022_S22","WP2-023_S23","WP2-024_S24","WP2-025_S25","WP2-026_S26","WP2-027_S48","WP2-029_S29","WP2-030_S30","WP2-031_S31","WP2-032_S32","WP2-033_S33","WP2-034_S34","WP2-035_S35","WP2-036_S36","WP2-037_S37","WP2-038_S38","WP2-039_S39","WP2-040_S40","WP2-041_S41","WP2-042_S42","WP2-043_S43","WP2-044_S44","WP2-045_S45"
"Acanthopagrus",0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acipenser",0,0,0,0,0,0,0,0,0,0,185,0,110,365,0,0,0,0,0,0,0,0,0,0,108,0,161,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alosa",0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
"Ammodytes",563,320,528,201,372,336,647,1034,3040,2067,1711,496,1232,0,660,0,159,193,1604,533,180,0,0,1157,802,0,2063,3900,0,0,120,115,0,145,185,157,0,0,143,0,141,306,315
"Anarrhichthys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
"Argentina",0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argyrosomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barbus",0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boleophthalmus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Borostomias",0,0,103,0,0,0,0,0,0,0,268,0,122,0,0,0,0,0,0,105,0,0,0,0,112,0,192,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chanos",0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clupea",940,695,3495,2581,5360,5769,15515,26302,37118,37991,10758,49771,75859,11033,7905,238,1888,2002,22760,13294,19866,8121,10777,63990,97770,4937,4916,3955,305,249,740,1797,1459,2233,6110,4291,2447,4787,10573,3970,25000,6404,5553
"Coregonus",113,0,100,0,0,0,0,0,0,142,230,0,165,0,102,0,0,0,0,124,0,0,0,140,202,0,178,418,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0
"Cottoperca",0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ctenopharyngodon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
"Cyclopterus",0,0,0,0,0,0,0,0,136,277,0,105,175,0,129,0,0,0,0,284,128,0,0,108,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,223,0
"Cyprinus",0,0,0,0,0,0,0,0,0,0,143,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Danio",106,101,282,184,147,0,106,0,145,170,633,101,344,770,111,0,0,110,120,205,133,151,0,221,323,0,612,1002,0,0,0,108,111,126,0,106,0,0,0,0,226,0,112
"Denticeps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Electrona",0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
