Sample,Sediment subsampled(g),CoreID,CoreDepth,ID2,Ct,Dct,duplication rate,raw reads,fastP filtered reads,too short reads,low complexity,low quality,GC content,Insert Size Peak,Sample2,dedupReads,age_min_(cal_BP),age_max(cal_BP),age_median_(cal_BP),age_mean_(cal_BP)
ExrNTC_S27,,,,ExrNTC23100901-ExrNTC,,,0,24,0,33.333333,0,0,0.00%,0,LV7009024865-ExrNTC23100901-ExrNTC_S27.trim.vs.fastq.gz,0,,,,
ExrNTC_S49,,,,ExrNTC23100902-ExrNTC,20.5,8.5,14.132047,2.401662 M,187.068000 K,69.456068,0.140986,2.709374,54.92%,0,LV7009024826-ExrNTC23100902-ExrNTC_S49.trim.vs.fastq.gz,129983,,,,
ExrPTC_S47,,,,ExrPTC23100901-ExrPTC,12.28,0.28,2.857143,560,157,0.714286,0.357143,2.5,50.22%,31,LV7009024911-ExrPTC23100901-ExrPTC_S47.trim.vs.fastq.gz,145,,,,
LibNTC_S51,,,,LibNTC23100901-LibNTC,21.7,9.7,23.159265,517.918000 K,3.852000 K,94.20024,0.050973,3.527972,49.28%,0,LV7009024862-LibNTC23100901-LibNTC_S51.trim.vs.fastq.gz,2529,,,,
LibPTC_S50,,,,LibPTC23100901-LibPTC,9.9,-2.1,1.162791,1.032000 K,303,5.620155,0,8.914729,53.29%,0,LV7009024850-LibPTC23100901-LibPTC_S50.trim.vs.fastq.gz,294,,,,
WP2-001_S1,0.249,PC012,10,LV7005367165-WP2-001,6.34,-5.66,4.583299,680.336862 M,251.480294 M,6.292182,0.004098,1.899906,51.83%,34,LV7009024832-LV7005367165-WP2-001_S1.trim.vs.fastq.gz,235915598,221,855,527,531
WP2-002_S2,0.238,PC012,35,LV7005367173-WP2-002,6,-6,4.660985,549.015714 M,199.797240 M,7.699834,0.004777,1.98475,47.55%,31,LV7009024856-LV7005367173-WP2-002_S2.trim.vs.fastq.gz,185214182,1087,1865,1404,1421
WP2-003_S3,0.217,PC012,61,LV7005367181-WP2-003,8.67,-3.33,6.715893,388.413478 M,138.350076 M,8.37923,0.008446,2.132937,45.85%,31,LV7009024868-LV7005367181-WP2-003_S3.trim.vs.fastq.gz,122308238,1799,2976,2335,2353
WP2-004_S4,0.21,PC012,84,LV7005367189-WP2-004,8.11,-3.89,6.470817,498.160028 M,182.399642 M,6.92663,0.008199,1.980811,43.78%,31,LV7009024880-LV7005367189-WP2-004_S4.trim.vs.fastq.gz,148422455,2534,3881,3171,3184
WP2-005_S5,0.216,PC012,114,LV7005367197-WP2-005,9.48,-2.52,10.239604,488.387922 M,175.773510 M,8.541005,0.007921,1.984004,44.15%,31,LV7009024892-LV7005367197-WP2-005_S5.trim.vs.fastq.gz,143805782,3613,4871,4269,4263
WP2-006_S6,0.202,PC012,132,LV7005367205-WP2-006,10.07,-1.93,9.688442,319.426990 M,117.807489 M,6.617265,0.011218,1.907483,45.31%,32,LV7009024904-LV7005367205-WP2-006_S6.trim.vs.fastq.gz,99407261,4313,5436,4937,4920
WP2-007_S7,0.213,PC012,159,LV7005367166-WP2-007,11.11,-0.89,24.36061,442.364606 M,160.142151 M,6.744264,0.015905,2.242865,0.44084288,32,LV7009024916-LV7005367166-WP2-007_S7.trim.vs.fastq.gz,97878474,5647,6154,5885,5888
